the,27456
",",25980
a,21743
and,20112
of,18162
.,13096
to,12742
-,12717
's,8764
is,8705
that,7766
in,7624
it,7099
as,5106
with,4745
an,4144
film,4056
for,3988
its,3924
movie,3730
this,3365
`,2784
you,2765
be,2706
but,2690
on,2526
n't,2311
by,2249
more,2131
one,2129
--,2108
at,2026
than,2021
not,1948
',1914
has,1914
from,1868
about,1862
his,1860
like,1827
are,1819
so,1814
all,1809
or,1710
have,1671
most,1516
good,1501
out,1491
story,1403
too,1336
...,1331
into,1323
up,1304
who,1275
),1179
funny,1159
characters,1136
i,1116
no,1114
comedy,1103
(,1074
if,1065
just,1059
well,1033
time,1028
does,1009
even,1002
what,999
much,994
your,982
can,978
bad,952
their,940
will,937
little,921
some,913
very,909
life,895
'',893
way,868
which,842
best,835
been,813
any,788
love,788
make,777
work,774
enough,747
there,738
director,719
only,707
he,706
made,702
makes,701
new,699
action,696
us,685
movies,682
humor,678
something,674
never,674
do,673
they,662
through,659
was,641
off,633
great,620
own,617
would,617
drama,612
many,591
we,591
old,589
self,589
really,586
performances,583
two,580
fun,569
see,567
her,565
plot,564
feel,563
sense,555
how,551
could,549
films,544
better,536
such,535
other,532
real,528
every,528
audience,527
people,521
first,517
without,515
long,507
character,507
cast,506
look,503
nothing,502
both,499
when,498
being,497
ever,492
over,485
may,485
world,479
heart,478
should,478
entertaining,477
often,476
acting,475
hard,469
year,467
screen,467
still,461
down,461
performance,453
them,452
:,445
while,442
because,438
script,436
big,435
also,435
interesting,426
hollywood,424
kind,424
another,419
minutes,405
those,404
're,404
dialogue,400
watch,399
far,397
few,390
get,390
family,388
less,386
thriller,383
human,375
might,373
end,372
tale,371
man,369
compelling,362
moments,360
actors,359
romantic,356
cinema,355
rather,350
had,350
picture,350
almost,343
material,342
after,338
watching,338
full,338
documentary,338
original,334
seen,334
take,333
worth,331
ve,330
seem,329
right,328
itself,328
back,326
before,325
my,325
moving,324
seems,323
were,323
emotional,321
our,319
quite,319
sweet,319
find,318
these,315
visual,315
comes,314
things,313
fascinating,311
scenes,309
between,308
works,307
feels,306
here,304
going,301
piece,301
me,300
high,299
star,297
come,296
go,296
music,295
smart,294
making,294
direction,293
dull,293
years,292
style,292
care,291
yet,291
young,290
;,290
american,289
half,287
special,286
takes,283
give,283
ultimately,282
ca,281
keep,280
low,278
art,278
kids,278
times,276
anything,273
laughs,273
'll,273
comic,272
why,272
worst,271
together,271
experience,268
enjoyable,267
least,266
cinematic,265
lot,265
part,264
where,261
beautiful,260
entertainment,260
history,259
sometimes,258
though,257
thing,257
clever,256
perfect,255
she,255
away,251
gives,250
again,247
genre,247
point,245
him,245
bit,245
dark,244
amusing,244
video,243
summer,242
powerful,242
intelligence,241
three,240
idea,239
gets,239
theater,237
engaging,237
same,236
once,235
women,235
intelligent,235
energy,234
subject,234
solid,233
did,233
charming,232
feature,231
surprisingly,231
around,229
actually,229
place,228
war,226
flick,226
/,226
feeling,225
anyone,224
show,223
charm,223
short,223
want,223
narrative,223
looking,223
screenplay,223
power,222
true,222
filmmaking,221
face,220
nearly,220
done,219
hour,219
pretty,217
fresh,217
last,216
silly,215
strong,215
wit,213
predictable,210
simply,209
whose,208
writer,208
manages,207
think,205
enjoy,205
truly,205
small,204
flat,204
offers,204
say,203
deeply,202
goes,202
under,202
familiar,202
spirit,202
know,202
satisfying,201
light,201
then,201
written,199
fans,199
mind,199
whole,198
need,198
effort,197
always,197
day,196
becomes,196
fine,195
dramatic,195
horror,194
effects,194
beautifully,193
trying,193
premise,193
quirky,192
since,192
hilarious,192
?,191
filmmakers,190
interest,190
modern,190
suspense,189
tone,188
portrait,188
set,187
minute,187
coming,187
rare,185
pleasure,185
rich,183
romance,183
series,183
hours,182
tv,182
probably,182
children,181
study,181
everyone,181
ideas,179
touching,178
remarkable,176
culture,176
'd,175
especially,175
opera,175
imagination,175
middle,174
title,174
wonderful,174
classic,173
boring,173
easy,172
everything,172
exercise,171
leave,171
run,171
level,170
actor,170
instead,170
stuff,169
top,169
age,169
honest,169
head,169
already,168
past,168
dumb,167
intriguing,167
serious,167
lack,166
thought,165
wo,165
filmmaker,164
turn,163
camera,163
adventure,163
must,163
woman,162
put,162
audiences,162
storytelling,161
sad,161
matter,160
slow,160
french,160
recent,159
stories,159
obvious,158
cold,157
despite,157
thin,157
talent,157
above,156
ending,156
terrific,156
images,156
memorable,156
project,156
visually,156
simple,155
beyond,154
completely,153
likely,153
become,152
sure,152
beauty,151
talented,151
gentle,151
looks,150
black,149
shot,149
directed,149
laugh,149
mess,149
girl,149
emotionally,149
jokes,149
fails,148
ride,147
inside,147
impossible,147
sequel,146
ugly,145
important,145
bland,145
having,144
reason,144
himself,144
cliches,144
gorgeous,143
mr,143
left,143
men,142
fashioned,142
stupid,142
proves,141
melodrama,141
ways,139
believe,139
brilliant,139
crime,139
cheap,139
easily,138
oscar,138
thoughtful,137
concept,136
contrived,136
excellent,136
soap,136
worthy,136
eyes,135
different,135
line,135
debut,135
complex,135
book,135
tired,135
else,135
rock,134
fairly,134
lacks,134
viewer,134
live,134
otherwise,134
de,134
play,133
shows,133
change,133
viewers,133
deep,133
comedies,133
each,133
sort,133
warmth,132
passion,132
certainly,131
death,131
able,131
m,131
writing,131
turns,131
particularly,131
attempt,131
welcome,130
wrong,130
violence,130
none,130
social,130
lost,129
formula,129
crafted,129
themselves,128
genuine,128
home,128
school,128
dead,128
personal,127
role,127
delightful,127
thoroughly,127
either,127
*,127
now,127
sequences,127
act,127
animation,127
message,127
plays,127
!,126
loud,126
hero,126
adults,125
version,125
sex,125
historical,125
impressive,125
cool,125
barely,125
seeing,124
appealing,124
winning,124
creepy,124
nor,124
fact,124
gags,123
along,123
quality,123
clichés,122
worse,122
got,122
running,121
working,121
class,121
warm,121
found,121
decent,121
lives,121
surprising,121
engrossing,120
budget,120
ambitious,120
next,120
road,120
second,119
creative,119
cliché,119
fantasy,119
pretentious,118
four,118
straight,118
psychological,117
attention,116
ends,116
tragedy,116
nice,116
imagine,116
entirely,115
perfectly,115
michael,115
seat,115
waste,114
side,114
remains,113
sit,113
heavy,113
unfunny,112
90,112
pictures,112
job,112
unsettling,112
period,112
journey,112
mean,112
inventive,112
usual,111
try,111
insight,111
future,111
painful,111
moral,111
vision,111
nature,110
john,110
unique,110
convincing,110
dry,109
mystery,109
bring,109
examination,109
view,109
shallow,109
edge,109
scary,109
pop,109
neither,109
stylish,108
satire,108
stand,108
scene,107
depth,107
sci,107
fi,107
leaves,107
master,107
reality,107
teen,107
knows,107
success,107
against,107
believable,107
career,106
artist,106
lacking,106
awful,106
elements,106
major,106
game,105
highly,105
tries,105
tedious,105
lead,105
eye,105
poorly,104
told,104
mood,104
situations,103
clear,103
epic,103
considerable,103
appeal,103
fire,103
b,103
provocative,103
falls,103
moment,103
acted,102
create,102
car,102
hit,102
days,102
sentimental,102
hip,102
rate,102
spy,102
flicks,102
political,102
hand,102
night,102
masterpiece,101
disney,101
sensitive,101
watchable,101
endearing,101
cinematography,101
production,101
hackneyed,101
greatest,100
earnest,100
animated,100
gone,100
finally,100
colorful,100
getting,100
parents,100
boy,100
crowd,100
help,99
uses,99
difficult,99
cultural,99
odd,99
utterly,98
core,98
delivers,98
understand,98
pace,98
witty,98
call,98
inspiring,98
amount,98
thinking,97
hold,97
flaws,97
surprise,97
adaptation,97
grand,97
mostly,97
sharp,97
relationships,97
possible,97
themes,97
throughout,96
actress,96
emotions,96
money,96
keeps,96
skill,96
soul,96
trip,96
touch,95
given,95
kid,95
successful,95
sustain,95
during,95
monster,95
cut,95
several,95
room,94
female,94
drag,94
pointless,93
promise,93
use,93
felt,93
doing,93
spielberg,93
mindless,93
called,92
tell,92
episode,92
cute,92
10,92
single,92
dog,91
subtle,91
wild,91
whether,91
captures,91
pieces,91
unexpected,91
execution,91
score,91
couple,91
definitely,91
magic,91
twists,91
form,91
poor,90
step,90
pure,90
complete,90
deserves,90
ensemble,90
intense,90
fast,90
ones,90
memory,89
problem,89
pacing,89
across,89
intimate,89
depressing,89
somewhat,89
surprises,88
lovely,88
urban,88
water,88
huge,88
approach,88
exciting,88
ability,88
intrigue,88
name,88
